Overall Rank,Title,Genre,Developers,IGN Rating,System,Year Released,Number of Players,Game Purchase Price (USD),Links
1,The Legend of Zelda: Breath of the Wild,Action / Adventure,Nintendo SPD,10/10,Switch,2017,1,59.99,https://www.nintendolife.com/games/nintendo-switch/legend_of_zelda_breath_of_the_wild
2,The Legend of Zelda: Ocarina of Time,Adventure,Nintendo EAD,10/10,N64,1998,1,49.99,https://www.nintendolife.com/games/n64/legend_of_zelda_ocarina_of_time
3,Super Mario World,Action,Nintendo EAD,8/10,SNES,1991,1,49.99,https://www.nintendolife.com/games/snes/super_mario_world
4,The Legend of Zelda: A Link to the Past,Adventure,Nintendo EAD,9/10,SNES,1992,1,49.99,https://www.nintendolife.com/games/snes/legend_of_zelda_a_link_to_the_past
5,The Legend of Zelda: Tears of the Kingdom,Action / Adventure / Oher / RPG,Nintendo,10/10,Switch,2023,1,69.99,https://www.nintendolife.com/games/nintendo-switch/legend_of_zelda_tears_of_the_kingdom
6,The Legend of Zelda: Link's Awakening,Adventure,Nintendo EAD,9/10,Game Boy,1993,1,29.99,https://www.nintendolife.com/games/gameboy/legend_of_zelda_links_awakening
7,Super Metroid,Adventure,Nintendo R&D1,9/10,SNES,1994,1,59.99,https://www.nintendolife.com/games/snes/super_metroid
8,Paper Mario: The Thousand-Year Door,RPG,Intelligent Systems,9/10,GameCube,2004,1,49.99,https://www.nintendolife.com/games/gamecube/paper_mario_the_thousand-year_door
9,Pokemon HeartGold & SoulSilver,Adventure / RPG,Game Freak,9/10,DS,2010,1,39.99,https://www.nintendolife.com/games/ds/pokemon_heartgold_and_soulsilver
10,The Legend of Zelda: The Wind Waker,Adventure,Nintendo EAD,9/10,GameCube,2003,1,49.99,https://www.nintendolife.com/games/gamecube/legend_of_zelda_the_wind_waker
11,Metroid Prime Remastered,Action / Adventur / First Person / Platformer,Retro Studios,10/10,Switch,2023,1,39.99,https://www.nintendolife.com/games/nintendo-switch/metroid_prime_remastered
12,Metroid Dread,Action / Adventure,"Nintendo, MercurySteam",9/10,Switch,2021,1,59.99,https://www.nintendolife.com/games/nintendo-switch/metroid_dread
13,Super Mario Bros 3,Action,Nintendo EAD,9/10,NES,1990,1,49.99,https://www.nintendolife.com/games/nes/super_mario_bros_3
14,The Legend of Zelda: The Wind Waker HD,Action / Adventure,Nintendo,9/10,Wii U,2013,1,49.99,https://www.nintendolife.com/games/wiiu/legend_of_zelda_the_wind_waker_hd
15,Super Mario Galaxy,Platformer,Nintendo EAD,10/10,Wii,2007,2,49.99,https://www.nintendolife.com/games/wii/super_mario_galaxy
16,The Legend of Zelda: Ocarina of Time 3D,Adventure,Grezzo,9/10,3DS,2011,1,39.99,https://www.nintendolife.com/games/3ds/legend_of_zelda_ocarina_of_time_3d
17,Super Mario Galaxy 2,Platformer,Nintendo EAD,10/10,Wii,2010,2,49.99,https://www.nintendolife.com/games/wii/super_mario_galaxy_2
18,Super Smash Bros Ultimate,Action / Fighting,"Sora, Bandai Namco",9/10,Switch,2018,8,59.99,https://www.nintendolife.com/games/nintendo-switch/super_smash_bros_ultimate
19,Super Mario Odyssey,Adventure / Platformer,Nintendo,10/10,Switch,2017,2,59.99,https://www.nintendolife.com/games/nintendo-switch/super_mario_odyssey
20,Xenoblade Chronicles,RPG,Monolith Soft,9/10,Wii,2011,1,49.99,https://www.nintendolife.com/games/wii/xenoblade_chronicles
21,The Legend of Zelda: Majora's Mask,Adventure,Nintendo EAD,9/10,N64,2000,1,49.99,https://www.nintendolife.com/games/n64/legend_of_zelda_majoras_mask
22,Super Mario Bros Wonder,Action / Platformer,Nintendo,9/10,Switch,2023,4,59.99,https://www.nintendolife.com/games/nintendo-switch/super_mario_bros_wonder
23,Super Smash Bros. Melee,Action,HAL Laboratory,9/10,GameCube,2001,4,49.99,https://www.nintendolife.com/games/gamecube/super_smash_bros_melee
24,The Legend of Zelda: A Link Between Worlds,Action / RPG,Nintendo,9/10,3DS,2013,1,39.99,https://www.nintendolife.com/games/3ds/legend_of_zelda_a_link_between_worlds
25,Xenoblade Chronicles 3,RPG,Monolith Soft,8/10,Switch,2022,1,59.99,https://www.nintendolife.com/games/nintendo-switch/xenoblade_chronicles_3
26,Metroid: Zero Mission,Adventure,Nintendo R&D1,9/10,Game Boy Advance,2004,1,29.99,https://www.nintendolife.com/games/gba/metroid_zero_mission
27,Mario Kart 8 Deluxe,Racing,Nintendo,9/10,Switch,2017,4 (12 Online),59.99,https://www.nintendolife.com/games/nintendo-switch/mario_kart_8_deluxe
28,The Legend of Zelda: Twilight Princess,Action,Nintendo EAD,9/10,GameCube,2006,1,49.99,https://www.nintendolife.com/games/gamecube/legend_of_zelda_twilight_princess
29,Fire Emblem: Awakening,RPG,Intelligent Systems,9/10,3DS,2013,1,39.99,https://www.nintendolife.com/games/3ds/fire_emblem_awakening
30,GoldenEye 007,Action,Rare,9/10,N64,1997,4,49.99,https://www.nintendolife.com/games/n64/goldeneye_007
31,Super Mario World 2: Yoshi's Island,Platformer,Nintendo EAD,8/10,SNES,1995,1,59.99,https://www.nintendolife.com/games/snes/super_mario_world_2_yoshis_island
32,Fire Emblem: Three Houses,Adventure / RPG / Strategy,Intelligent Systems,9/10,Switch,2019,1,59.99,https://www.nintendolife.com/games/nintendo-switch/fire_emblem_three_houses
33,Tetris GB,Puzzle,Nintendo,9/10,Game Boy,1989,1,24.99,https://www.nintendolife.com/games/gameboy/tetris
34,Pikmin 4,Adventure / Strategy,"Nintendo EPD, Eighting",9/10,Switch,2023,2,59.99,https://www.nintendolife.com/games/nintendo-switch/pikmin_4
35,Pokemon Platinum,RPG,Game Freak,9/10,DS,2009,1 (4 Online),39.99,https://www.nintendolife.com/games/ds/pokemon_platinum
36,Super Mario 64,Platformer,Nintendo EAD,9/10,N64,1996,1,59.99,https://www.nintendolife.com/games/n64/super_mario_64
37,The Legend of Zelda: Majora's Mask 3D,Action / Adventure / RPG,Nintendo,8/10,3DS,2015,1,39.99,https://www.nintendolife.com/games/3ds/legend_of_zelda_majoras_mask_3d
38,Super Mario RPG: Legend of the Seven Stars,RPG,Squaresoft,9/10,Super Nintendo,1996,1,59.99,https://www.nintendolife.com/games/snes/super_mario_rpg_legend_of_the_seven_stars
39,Donkey Kong Country 2: Diddy's Kong Quest,Action,Rare,9/10,SNES,1995,2,59.99,https://www.nintendolife.com/games/snes/donkey_kong_country_2_diddys_kong_quest
40,Banjo-Kazooie,Adventure / Platformer,Rare,9/10,N64,1998,1,49.99,https://www.nintendolife.com/games/n64/banjo-kazooie
41,Animal Crossing: New Leaf,Simulation,Nintendo EAD,9/10,3DS,2013,1,34.99,https://www.nintendolife.com/games/3ds/animal_crossing_new_leaf
42,Earthbound,RPG,"HAL Laboratory, Ape",8/10,SNES,1995,1,69.99,https://www.nintendolife.com/games/snes/earthbound
43,Kibry and the Forgotten Land,Action / Platformer,HAL Laboratory,8/10,Switch,2022,1,59.99,https://www.nintendolife.com/games/nintendo-switch/kirby_and_the_forgotten_land
